Original,run1,run2
1,-1,-11
2,-2,-12
3,-3,-13
4,-4,-14
5,-5,-15
6,-6,-16
7,-7,-17
8,-8,-18
9,-9,-19
10,-10,-20
11,-11,-21
12,-12,-22
13,-13,-23
14,-14,-24
15,-15,-25
16,-16,-26
17,-17,-27
18,-18,-28
19,-19,-29
20,-20,-30
21,-21,-31
22,-22,-32
23,-23,-33
24,-24,-34
25,-25,-35
26,-26,-36
27,-27,-37
28,-28,-38
29,-29,-39
30,-30,-40
31,-31,-41
32,-32,-42
33,-33,-43
34,-34,-44
35,-35,-45
36,-36,-46
37,-37,-47
38,-38,-48
39,-39,-49
40,-40,-50
41,-41,-51
42,-42,-52
43,-43,-53
44,-44,-54
45,-45,-55
46,-46,-56
47,-47,-57
48,-48,-58
49,-49,-59
50,-50,-60
51,-51,-61
52,-52,-62
53,-53,-63
54,-54,-64
55,-55,-65
56,-56,-66
57,-57,-67
58,-58,-68
59,-59,-69
60,-60,-70
61,-61,-71
62,-62,-72
63,-63,-73
64,-64,-74
65,-65,-75
66,-66,-76
67,-67,-77
68,-68,-78
69,-69,-79
70,-70,-80
71,-71,-81
72,-72,-82
73,-73,-83
74,-74,-84
75,-75,-85
76,-76,-86
77,-77,-87
78,-78,-88
79,-79,-89
80,-80,-90
81,-81,-91
82,-82,-92
83,-83,-93
84,-84,-94
85,-85,-95
86,-86,-96
